国籍,地域階層,地域コード,地域,全体の増減,他県との移動／増減,他県との移動／転入,他県との移動／転出,都内間移動／増減,都内間移動／転入,都内間移動／転出,自然動態／増減,自然動態／出生,自然動態／死亡,その他の増減,（別掲）日本人全体の増減
日本人,4,13401,八丈町,-156,-42,22,64,-108,29,137,-6,3,9,0,
日本人,4,13402,青ヶ島村,-14,-4,2,6,-10,5,15,0,0,0,0,
日本人,3,13420,小笠原支庁,-100,-28,23,51,-73,8,81,1,1,0,0,
日本人,4,13421,小笠原村,-100,-28,23,51,-73,8,81,1,1,0,0,
外国人,0,13000,総数,6532,-226,8875,9101,-880,8580,9460,221,307,86,7417,
外国人,1,13100,区部,5442,-394,7393,7787,-1014,7131,8145,201,268,67,6649,
外国人,4,13101,千代田区,50,10,33,23,-5,75,80,0,0,0,45,
外国人,4,13102,中央区,292,27,105,78,140,290,150,4,4,0,121,
外国人,4,13103,港区,205,47,128,81,-53,143,196,6,8,2,205,
外国人,4,13104,新宿区,-190,-683,454,1137,-485,560,1045,6,10,4,972,
外国人,4,13105,文京区,84,-49,185,234,7,279,272,0,3,3,126,
外国人,4,13106,台東区,12,-106,205,311,-105,294,399,7,9,2,216,
外国人,4,13107,墨田区,156,-98,177,275,-23,236,259,2,5,3,275,
外国人,4,13108,江東区,247,-11,304,315,-28,382,410,25,29,4,261,
外国人,4,13109,品川区,321,125,224,99,41,210,169,4,9,5,151,
外国人,4,13110,目黒区,86,13,89,76,-6,129,135,3,3,0,76,
外国人,4,13111,大田区,434,174,438,264,19,241,222,7,9,2,234,
外国人,4,13112,世田谷区,415,15,318,303,131,423,292,6,9,3,263,
外国人,4,13113,渋谷区,206,18,90,72,20,216,196,5,5,0,163,
外国人,4,13114,中野区,234,-84,372,456,-68,413,481,11,13,2,375,
外国人,4,13115,杉並区,468,34,395,361,-64,325,389,7,8,1,491,
外国人,4,13116,豊島区,295,-108,656,764,-194,561,755,9,12,3,588,
外国人,4,13117,北区,361,41,546,505,-91,374,465,20,24,4,391,
外国人,4,13118,荒川区,4,-41,266,307,-128,260,388,6,10,4,167,
外国人,4,13119,板橋区,640,222,733,511,49,487,438,10,16,6,359,
外国人,4,13120,練馬区,401,41,411,370,44,359,315,7,13,6,309,
外国人,4,13121,足立区,377,39,440,401,-24,318,342,14,21,7,348,
外国人,4,13122,葛飾区,198,22,312,290,-101,192,293,10,13,3,267,
外国人,4,13123,江戸川区,146,-42,512,554,-90,364,454,32,35,3,246,
外国人,1,13200,市部,1084,172,1461,1289,127,1435,1308,20,39,19,765,
外国人,4,13201,八王子市,159,25,245,220,81,279,198,2,4,2,51,
外国人,4,13202,立川市,119,45,79,34,17,87,70,1,4,3,56,
外国人,4,13203,武蔵野市,136,62,92,30,37,78,41,1,1,0,36,
外国人,4,13204,三鷹市,61,30,57,27,-9,65,74,0,1,1,40,
外国人,4,13205,青梅市,25,4,22,18,-15,7,22,2,2,0,34,
外国人,4,13206,府中市,43,11,90,79,2,82,80,2,2,0,28,
外国人,4,13207,昭島市,35,5,31,26,8,28,20,-3,0,3,25,
外国人,4,13208,調布市,68,1,55,54,-7,51,58,1,2,1,73,
外国人,4,13209,町田市,180,52,153,101,43,93,50,5,6,1,80,
外国人,4,13210,小金井市,116,54,89,35,42,75,33,2,2,0,18,
外国人,4,13211,小平市,-56,-78,61,139,-12,103,115,2,3,1,32,
外国人,4,13212,日野市,13,-7,47,54,4,79,75,1,1,0,15,
外国人,4,13213,東村山市,37,8,42,34,5,35,30,1,1,0,23,
外国人,4,13214,国分寺市,88,48,83,35,33,87,54,0,1,1,7,
外国人,4,13215,国立市,-11,0,22,22,-9,35,44,0,0,0,-2,
外国人,4,13218,福生市,-91,-80,36,116,-57,25,82,1,2,1,45,
外国人,4,13219,狛江市,14,1,19,18,3,14,11,0,0,0,10,
外国人,4,13220,東大和市,7,5,8,3,-2,10,12,0,0,0,4,
外国人,4,13221,清瀬市,20,10,20,10,-2,10,12,0,0,0,12,
外国人,4,13222,東久留米市,40,11,34,23,7,18,11,0,1,1,22,
外国人,4,13223,武蔵村山市,25,10,17,7,2,5,3,0,0,0,13,
外国人,4,13224,多摩市,47,-2,45,47,16,71,55,1,2,1,32,
外国人,4,13225,稲城市,27,7,18,11,-2,12,14,1,1,0,21,
外国人,4,13227,羽村市,-63,-27,15,42,-37,9,46,2,2,0,-1,
外国人,4,13228,あきる野市,26,5,12,7,10,15,5,-2,0,2,13,
外国人,4,13229,西東京市,19,-28,69,97,-31,62,93,0,1,1,78,
外国人,1,13550,町村部,6,-4,21,25,7,14,7,0,0,0,3,
外国人,2,13300,郡部,20,6,19,13,10,13,3,0,0,0,4,
外国人,4,13303,瑞穂町,18,7,19,12,9,12,3,0,0,0,2,
外国人,4,13305,日の出町,0,-1,0,1,1,1,0,0,0,0,0,
外国人,4,13307,檜原村,0,0,0,0,0,0,0,0,0,0,0,
外国人,4,13308,奥多摩町,2,0,0,0,0,0,0,0,0,0,2,
外国人,2,13350,島部,-14,-10,2,12,-3,1,4,0,0,0,-1,
外国人,3,13360,大島支庁,-11,-6,2,8,-1,1,2,0,0,0,-4,
外国人,4,13361,大島町,-10,-4,2,6,-1,1,2,0,0,0,-5,
外国人,4,13362,利島村,-1,-1,0,1,0,0,0,0,0,0,0,
外国人,4,13363,新島村,-1,-1,0,1,0,0,0,0,0,0,0,
外国人,4,13364,神津島村,1,0,0,0,0,0,0,0,0,0,1,
外国人,3,13380,三宅支庁,2,0,0,0,0,0,0,0,0,0,2,
外国人,4,13381,三宅村,2,0,0,0,0,0,0,0,0,0,2,
外国人,4,13382,御蔵島村,0,0,0,0,0,0,0,0,0,0,0,
外国人,3,13400,八丈支庁,-1,-1,0,1,-1,0,1,0,0,0,1,
外国人,4,13401,八丈町,-1,-1,0,1,-1,0,1,0,0,0,1,
外国人,4,13402,青ヶ島村,0,0,0,0,0,0,0,0,0,0,0,
外国人,3,13420,小笠原支庁,-4,-3,0,3,-1,0,1,0,0,0,0,
外国人,4,13421,小笠原村,-4,-3,0,3,-1,0,1,0,0,0,0,
,,,,,,,,,,,,,,,
東京都の人口（推計）_令和6年4月,,,,,,,,,,,,,,,
3月中の人口の動き(総数・日本人・外国人）,,,,,,,,,,,,,,,
注1）総数の数値は、日本人及び外国人の合計である。,,,,,,,,,,,,,,,
注2)「その他の増減」は、職権等による記載・消除、帰化・国籍喪失等である。,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,
